MWhperDay,name,type,location,note,boe
87608,Qinshan,Nuclear,China,NA,7552
91757,Kashiwazaki-Kariwa,Nuclear,Japan,"largest nuclear plant in the world (by MW), currently shut!",7910
100772,Paluel,Nuclear,France,NA,8687
118460,Gravelines,Nuclear,France,"6th largest in world, 2nd largest in Europe",10212
123667,Zaporizhia,Nuclear,Ukraine,"5th largest, 20% of country's electricity, largest in Europe",10661
127985,Hanbit,Nuclear,S. Korea,NA,11033
128180,Hanul,Nuclear,S. Korea,"4th largest, due to increase to 8608MW in 2018?",11050
130464,Kori,Nuclear,S. Korea,3rd largest,11247
137894,Bruce,Nuclear,Canada,"Ontario, 2nd biggest in the world. Largest operating reactor in the world.",11887
10959,Hoover Dam,Hydro,USA,Contains enough concrete to build a road between the west and east coasts of the US. Hoover wasn't invited to the dam's dedication ceremony.,945
54795,Grand Coulee,Hydro,United States,NA,4724
84110,Xiangjiaba,Hydro,China,NA,7251
113507,Tucurui,Hydro,Brazil,NA,9785
128767,Guri,Hydro,Venezuela,Provides 70-80% of Venezuela's power. Its failure in 2019 caused widespread blackouts. The government blamed it on sabotage. Experts blamed it on lack of maintainence.,11101
143014,Xiluodu,Hydro,China,NA,12329
146619,Baihetan Dam,Hydro,China,"Under construction, expected to be complete in 2021.",12640
270685,Three Gorges Dam,Hydro,China,Construction displaced 1.3 million people.,23335
282461,Itaipu Dam,Hydro,Brazil / Paraguay,"The Itaipu Dam produced the most energy of hydroelectric plant in the world as of 2016, setting a new world record of 103,098,366 megawatt hours (MWh), and surpassed the Three Gorges Dam plant in energy production in 2015 and 2016.",24350
60274,Bitcoin per day,Other,NA,NA,5196
15616,Google per day,Other,NA,NA,1346
